Customer_ID,Name,Age,SSN,Occupation,Credit_Score
CUS_0x3187,,39,024-52-4439,Architect,Poor
CUS_0x3fbf,Rick Rothackerj,28,004-07-5839,Teacher,Standard
CUS_0x953c,Langep,34,486-85-3974,_______,Good
CUS_0x4aaa,Jasond,55,072-31-6145,Entrepreneur,Standard
CUS_0x2947,Deepaa,21,615-06-7821,Developer,Standard
CUS_0x30e0,Np,31,612-70-8987,Lawyer,Good
CUS_0xc3b7,Nadiaq,34,411-51-0676,Lawyer,Good
CUS_0x1e9b,Taylorb,18,866-51-6415,Writer,Poor
CUS_0x3b88,Mikex,40,#F%$D@*&8,Scientist,Standard
CUS_0xae51,,46,082-17-4774,Entrepreneur,Standard
